EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1618271614.299886,1512172.000,8004,2,AK,1,100,7867
1618271614.299886,1512172.000,8004,2,AK,1,100,RD
1618271614.306078,1512178.000,8006,2,AK,1,100,8002
1618271614.312269,1512184.000,8006,2,AK,1,100,RD
1618271616.942087,1514732.500,8908,2,AK,1,100,8002
1618271619.571906,1517281.000,8908,2,AK,1,100,RD
1618271619.601831,1517310.000,8910,2,AK,1,100,8906
1618271619.631756,1517339.000,8910,2,AK,1,100,RD
1618271622.238357,1519865.000,9811,2,AK,1,100,8906
1618271624.844957,1522391.000,9811,2,AK,1,100,RD
1618271624.851664,1522397.500,9813,2,AK,1,100,9809
1618271624.858371,1522404.000,9813,2,AK,1,100,RD
1618271627.487674,1524952.000,10716,2,AK,1,100,9809
1618271630.116976,1527500.000,10716,2,AK,1,100,RD
1618271630.145353,1527527.500,10718,2,AK,1,100,10714
1618271630.173731,1527555.000,10718,2,AK,1,100,RD
1618271632.782395,1530083.000,11621,2,AK,1,100,10714
1618271635.391059,1532611.000,11621,2,AK,1,100,RD
1618271635.397766,1532617.500,11623,2,AK,1,100,11619
1618271635.404474,1532624.000,11623,2,AK,1,100,RD
1618271638.052866,1535190.500,12541,2,AK,1,100,11619
1618271640.701259,1537757.000,12541,2,AK,1,100,RD
1618271640.713126,1537768.500,12543,2,AK,1,100,12539
1618271640.724993,1537780.000,12543,2,AK,1,100,RD
1618271643.345008,1540319.000,13445,2,AK,1,100,12539
1618271645.965023,1542858.000,13445,2,AK,1,100,RD
1618271645.972246,1542865.000,13447,2,AK,1,100,13443
1618271645.979470,1542872.000,13447,2,AK,1,100,RD
1618271648.629410,1545440.000,14365,2,AK,1,100,13443
1618271651.279350,1548008.000,14365,2,AK,1,100,RD
1618271651.285542,1548014.000,14367,2,AK,1,100,14363
1618271651.291733,1548020.000,14367,2,AK,1,100,RD
1618271653.954572,1550600.500,15286,2,AK,1,100,14363
1618271656.617412,1553181.000,15286,2,AK,1,100,RD
1618271656.625151,1553188.500,15288,2,AK,1,100,15284
1618271656.632890,1553196.000,15288,2,AK,1,100,RD
1618271659.280251,1555761.500,16207,2,AK,1,100,15284
1618271661.927611,1558327.000,16207,2,AK,1,100,RD
1618271661.933287,1558332.500,16209,2,AK,1,100,16205
1618271661.938962,1558338.000,16209,2,AK,1,100,RD
1618271664.570844,1560888.500,17110,2,AK,1,100,16205
1618271667.202726,1563439.000,17110,2,AK,1,100,RD
