EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1618271614.702331,1512562.000,8096,1,B%,1,100,24
1618271615.702250,1513531.000,8258,1,B%,1,100,24
1618271616.699073,1514497.000,8438,1,B%,1,100,24
1618271617.700024,1515467.000,8599,1,B%,1,100,24
1618271618.695816,1516432.000,8779,1,B%,1,100,24
1618271619.694703,1517400.000,8929,1,B%,1,100,24
1618271620.690494,1518365.000,9109,1,B%,1,100,24
1618271621.692477,1519336.000,9288,1,B%,1,100,23
1618271622.690332,1520303.000,9466,1,B%,1,100,24
1618271623.689219,1521271.000,9628,1,B%,1,100,24
1618271624.687075,1522238.000,9808,1,B%,1,100,24
1618271625.684930,1523205.000,9975,1,B%,1,100,23
1618271626.681753,1524171.000,10154,1,B%,1,100,24
1618271627.679609,1525138.000,10316,1,B%,1,100,24
1618271628.679528,1526107.000,10496,1,B%,1,100,23
1618271629.676351,1527073.000,10657,1,B%,1,100,24
1618271630.674206,1528040.000,10827,1,B%,1,100,24
1618271631.672062,1529007.000,11007,1,B%,1,100,24
1618271632.673013,1529977.000,11169,1,B%,1,100,24
1618271633.668804,1530942.000,11349,1,B%,1,100,24
1618271634.667691,1531910.000,11510,1,B%,1,100,24
1618271635.666579,1532878.000,11694,1,B%,1,100,24
1618271636.667530,1533848.000,11857,1,B%,1,100,24
1618271637.665385,1534815.000,12036,1,B%,1,100,24
1618271638.664272,1535783.000,12214,1,B%,1,100,24
1618271639.663159,1536751.000,12375,1,B%,1,100,24
1618271640.658951,1537716.000,12560,1,B%,1,100,24
1618271641.655774,1538682.000,12722,1,B%,1,100,24
1618271642.652597,1539648.000,12902,1,B%,1,100,24
1618271643.652516,1540617.000,13063,1,B%,1,100,24
1618271644.649340,1541583.000,13243,1,B%,1,100,24
1618271645.651323,1542554.000,13405,1,B%,1,100,24
1618271646.648146,1543520.000,13590,1,B%,1,100,24
1618271647.649097,1544490.000,13751,1,B%,1,100,24
1618271648.644888,1545455.000,13931,1,B%,1,100,24
1618271649.644808,1546424.000,14093,1,B%,1,100,24
1618271650.640599,1547389.000,14273,1,B%,1,100,24
1618271651.642582,1548360.000,14458,1,B%,1,100,24
1618271652.638373,1549325.000,14619,1,B%,1,100,24
1618271653.637260,1550293.000,14799,1,B%,1,100,24
1618271654.634084,1551259.000,14961,1,B%,1,100,24
1618271655.632971,1552227.000,15141,1,B%,1,100,24
1618271656.628762,1553192.000,15307,1,B%,1,100,24
1618271657.626618,1554159.000,15486,1,B%,1,100,23
1618271658.626537,1555128.000,15649,1,B%,1,100,24
1618271659.623360,1556094.000,15828,1,B%,1,100,23
1618271660.622247,1557062.000,16007,1,B%,1,100,24
1618271661.621135,1558030.000,16169,1,B%,1,100,24
1618271662.622086,1559000.000,16352,1,B%,1,100,24
1618271663.618909,1559966.000,16514,1,B%,1,100,23
1618271664.617796,1560934.000,16694,1,B%,1,100,24
1618271665.615651,1561901.000,16855,1,B%,1,100,24
1618271666.616602,1562871.000,17035,1,B%,1,100,24
1618271667.613426,1563837.000,17202,1,B%,1,100,23
1618271668.611281,1564804.000,17365,1,B%,1,100,23
1618271669.608104,1565770.000,17544,1,B%,1,100,23
1618271670.604928,1566736.000,17722,1,B%,1,100,23
1618271671.601751,1567702.000,17883,1,B%,1,100,23
1618271672.601670,1568671.000,18034,1,B%,1,100,23
1618271673.601589,1569640.000,18214,1,B%,1,100,23
1618271674.599445,1570607.000,18392,1,B%,1,100,23
1618271675.601428,1571578.000,18553,1,B%,1,100,23
1618271676.599283,1572545.000,18733,1,B%,1,100,23
1618271677.600234,1573515.000,18895,1,B%,1,100,23
1618271678.596025,1574480.000,19081,1,B%,1,100,23
1618271679.594912,1575448.000,19242,1,B%,1,100,23
1618271680.589672,1576412.000,19422,1,B%,1,100,23
1618271681.590623,1577382.000,19584,1,B%,1,100,23
1618271682.586414,1578347.000,19764,1,B%,1,100,23
1618271683.585302,1579315.000,19930,1,B%,1,100,23
1618271684.582125,1580281.000,20110,1,B%,1,100,23
1618271685.583076,1581251.000,20290,1,B%,1,100,23
1618271686.578867,1582216.000,20452,1,B%,1,100,24
1618271687.578786,1583185.000,20613,1,B%,1,100,24
1618271688.578706,1584154.000,20798,1,B%,1,100,24
1618271689.577593,1585122.000,20960,1,B%,1,100,23
1618271690.576480,1586090.000,21140,1,B%,1,100,23
1618271691.575367,1587058.000,21301,1,B%,1,100,23
1618271692.573222,1588025.000,21481,1,B%,1,100,23
1618271693.569014,1588990.000,21643,1,B%,1,100,23
1618271694.566869,1589957.000,21828,1,B%,1,100,23
1618271695.564724,1590924.000,21989,1,B%,1,100,23
1618271696.564643,1591893.000,22169,1,B%,1,100,23
1618271697.561467,1592859.000,22349,1,B%,1,100,23
1618271698.562418,1593829.000,22511,1,B%,1,100,24
1618271699.560273,1594796.000,22679,1,B%,1,100,23
1618271700.559160,1595764.000,22840,1,B%,1,100,23
1618271701.555984,1596730.000,23020,1,B%,1,100,23
1618271702.555903,1597699.000,23182,1,B%,1,100,22
1618271703.554790,1598667.000,23362,1,B%,1,100,22
1618271704.552645,1599634.000,23529,1,B%,1,100,22
1618271705.553596,1600604.000,23708,1,B%,1,100,22
1618271706.551451,1601571.000,23871,1,B%,1,100,22
1618271707.549307,1602538.000,24050,1,B%,1,100,23
1618271708.545098,1603503.000,24229,1,B%,1,100,23
1618271709.543985,1604471.000,24396,1,B%,1,100,23
1618271710.539777,1605436.000,24574,1,B%,1,100,23
1618271711.540728,1606406.000,24736,1,B%,1,100,23
1618271712.536519,1607371.000,24916,1,B%,1,100,23
1618271713.537470,1608341.000,25077,1,B%,1,100,22
1618271714.534294,1609307.000,25257,1,B%,1,100,23
1618271715.536277,1610278.000,25442,1,B%,1,100,22
1618271716.531036,1611242.000,25604,1,B%,1,100,22
1618271717.530955,1612211.000,25784,1,B%,1,100,22
1618271718.528811,1613178.000,25945,1,B%,1,100,23
