EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,ER
1618271607.832917,1505905.000,7990,1,ER,1,100,1.643809
1618271609.989950,1507995.333,8012,3,ER,1,100,1.646307
1618271612.146982,1510085.667,8012,3,ER,1,100,1.648402
1618271614.304014,1512176.000,8012,3,ER,1,100,1.649651
1618271614.370056,1512240.000,8031,2,ER,1,100,1.650699
1618271614.436098,1512304.000,8031,2,ER,1,100,1.651706
1618271614.503172,1512369.000,8049,1,ER,1,100,1.652270
1618271614.569214,1512433.000,8067,2,ER,1,100,1.653237
1618271614.635257,1512497.000,8067,2,ER,1,100,1.652794
1618271614.702331,1512562.000,8083,1,ER,1,100,1.653237
1618271614.768889,1512626.500,8103,2,ER,1,100,1.655131
1618271614.835447,1512691.000,8103,2,ER,1,100,1.656783
1618271614.902521,1512756.000,8121,1,ER,1,100,1.657669
1618271614.969595,1512821.000,8140,2,ER,1,100,1.657951
1618271615.036669,1512886.000,8140,2,ER,1,100,1.657669
1618271615.102711,1512950.000,8157,2,ER,1,100,1.657065
1618271615.168753,1513014.000,8157,2,ER,1,100,1.657347
1618271615.235827,1513079.000,8174,1,ER,1,100,1.657347
1618271615.303417,1513144.500,8192,2,ER,1,100,1.657226
1618271615.371007,1513210.000,8192,2,ER,1,100,1.656179
1618271615.437049,1513274.000,8211,1,ER,1,100,1.655010
1618271615.504123,1513339.000,8228,2,ER,1,100,1.655171
1618271615.571197,1513404.000,8228,2,ER,1,100,1.655977
1618271615.636208,1513467.000,8246,1,ER,1,100,1.657226
1618271615.702250,1513531.000,8264,2,ER,1,100,1.657065
1618271615.768292,1513595.000,8264,2,ER,1,100,1.656501
1618271615.835366,1513660.000,8283,2,ER,1,100,1.656501
1618271615.902440,1513725.000,8283,2,ER,1,100,1.656541
1618271615.969514,1513790.000,8301,1,ER,1,100,1.655091
1618271616.035040,1513853.500,8319,2,ER,1,100,1.654849
1618271616.100566,1513917.000,8319,2,ER,1,100,1.654889
1618271616.167640,1513982.000,8335,1,ER,1,100,1.653680
1618271616.233682,1514046.000,8354,2,ER,1,100,1.652915
1618271616.299725,1514110.000,8354,2,ER,1,100,1.654003
1618271616.367831,1514176.000,8372,1,ER,1,100,1.653439
1618271616.434389,1514240.500,8391,2,ER,1,100,1.653842
1618271616.500947,1514305.000,8391,2,ER,1,100,1.653801
1618271616.567505,1514369.500,8408,2,ER,1,100,1.652190
1618271616.634063,1514434.000,8408,2,ER,1,100,1.651505
1618271616.699073,1514497.000,8425,1,ER,1,100,1.650658
1618271616.765115,1514561.000,8444,2,ER,1,100,1.648160
1618271616.831157,1514625.000,8444,2,ER,1,100,1.645380
1618271616.899263,1514691.000,8463,1,ER,1,100,1.643809
1618271616.965305,1514755.000,8480,2,ER,1,100,1.640827
1618271617.031348,1514819.000,8480,2,ER,1,100,1.639699
1618271617.098422,1514884.000,8498,1,ER,1,100,1.638933
1618271617.165496,1514949.000,8515,2,ER,1,100,1.636193
1618271617.232570,1515014.000,8515,2,ER,1,100,1.633453
1618271617.299128,1515078.500,8534,2,ER,1,100,1.630149
1618271617.365686,1515143.000,8534,2,ER,1,100,1.626805
1618271617.433792,1515209.000,8552,1,ER,1,100,1.622615
1618271617.500866,1515274.000,8570,2,ER,1,100,1.619431
1618271617.567940,1515339.000,8570,2,ER,1,100,1.616812
1618271617.632950,1515402.000,8587,1,ER,1,100,1.615160
1618271617.699508,1515466.500,8606,2,ER,1,100,1.613952
1618271617.766066,1515531.000,8606,2,ER,1,100,1.614637
1618271617.832108,1515595.000,8624,2,ER,1,100,1.616168
1618271617.898150,1515659.000,8624,2,ER,1,100,1.617779
1618271617.964193,1515723.000,8643,1,ER,1,100,1.618223
1618271618.031267,1515788.000,8660,2,ER,1,100,1.620157
1618271618.098341,1515853.000,8660,2,ER,1,100,1.621889
1618271618.164383,1515917.000,8677,1,ER,1,100,1.623098
1618271618.229909,1515980.500,8695,2,ER,1,100,1.624307
1618271618.295435,1516044.000,8695,2,ER,1,100,1.625516
1618271618.361993,1516108.500,8714,2,ER,1,100,1.627248
1618271618.428551,1516173.000,8714,2,ER,1,100,1.630270
1618271618.495625,1516238.000,8732,1,ER,1,100,1.633010
1618271618.562699,1516303.000,8750,2,ER,1,100,1.637523
1618271618.629773,1516368.000,8750,2,ER,1,100,1.641472
1618271618.695816,1516432.000,8766,1,ER,1,100,1.644171
1618271618.762890,1516497.000,8786,2,ER,1,100,1.646065
1618271618.829964,1516562.000,8786,2,ER,1,100,1.646387
1618271618.897038,1516627.000,8804,1,ER,1,100,1.649087
1618271618.963080,1516691.000,8823,2,ER,1,100,1.650457
1618271619.029122,1516755.000,8823,2,ER,1,100,1.651505
1618271619.094132,1516818.000,8840,1,ER,1,100,1.651061
1618271619.160690,1516882.500,8857,2,ER,1,100,1.651505
1618271619.227248,1516947.000,8857,2,ER,1,100,1.652431
1618271619.293806,1517011.500,8875,2,ER,1,100,1.653519
1618271619.360364,1517076.000,8875,2,ER,1,100,1.655292
1618271619.427438,1517141.000,8894,1,ER,1,100,1.656380
1618271619.493824,1517205.333,8916,3,ER,1,100,1.656138
1618271619.560211,1517269.667,8916,3,ER,1,100,1.656864
1618271619.626597,1517334.000,8916,3,ER,1,100,1.657428
1618271619.694703,1517400.000,8936,1,ER,1,100,1.657307
1618271619.761261,1517464.500,8953,2,ER,1,100,1.656098
1618271619.827819,1517529.000,8953,2,ER,1,100,1.655776
1618271619.892829,1517592.000,8971,1,ER,1,100,1.655332
1618271619.959387,1517656.500,8988,2,ER,1,100,1.654930
1618271620.025945,1517721.000,8988,2,ER,1,100,1.655897
1618271620.092503,1517785.500,9007,2,ER,1,100,1.656138
1618271620.159061,1517850.000,9007,2,ER,1,100,1.656702
1618271620.225104,1517914.000,9025,1,ER,1,100,1.656340
1618271620.292178,1517979.000,9043,2,ER,1,100,1.655615
1618271620.359251,1518044.000,9043,2,ER,1,100,1.655897
1618271620.425294,1518108.000,9059,1,ER,1,100,1.654688
1618271620.490820,1518171.500,9078,2,ER,1,100,1.653680
1618271620.556346,1518235.000,9078,2,ER,1,100,1.652149
1618271620.623420,1518300.000,9096,1,ER,1,100,1.651102
1618271620.690494,1518365.000,9116,2,ER,1,100,1.650014
1618271620.757568,1518430.000,9116,2,ER,1,100,1.649732
1618271620.823610,1518494.000,9133,1,ER,1,100,1.651182
1618271620.890684,1518559.000,9150,2,ER,1,100,1.652028
1618271620.957758,1518624.000,9150,2,ER,1,100,1.651585
1618271621.024832,1518689.000,9168,2,ER,1,100,1.651545
1618271621.091907,1518754.000,9168,2,ER,1,100,1.650739
1618271621.158981,1518819.000,9187,1,ER,1,100,1.651424
1618271621.225023,1518883.000,9204,2,ER,1,100,1.651182
1618271621.291065,1518947.000,9204,2,ER,1,100,1.650336
1618271621.358139,1519012.000,9222,1,ER,1,100,1.649732
1618271621.424697,1519076.500,9239,2,ER,1,100,1.649853
1618271621.491255,1519141.000,9239,2,ER,1,100,1.649369
1618271621.558329,1519206.000,9258,1,ER,1,100,1.650135
1618271621.625403,1519271.000,9276,2,ER,1,100,1.651787
1618271621.692477,1519336.000,9276,2,ER,1,100,1.652028
1618271621.758519,1519400.000,9295,2,ER,1,100,1.651747
1618271621.824561,1519464.000,9295,2,ER,1,100,1.651545
1618271621.890604,1519528.000,9311,1,ER,1,100,1.650900
1618271621.958194,1519593.500,9330,2,ER,1,100,1.651021
1618271622.025784,1519659.000,9330,2,ER,1,100,1.650417
1618271622.091825,1519723.000,9348,1,ER,1,100,1.650900
1618271622.158384,1519787.500,9367,2,ER,1,100,1.649933
1618271622.224942,1519852.000,9367,2,ER,1,100,1.650336
1618271622.289952,1519915.000,9382,1,ER,1,100,1.651142
1618271622.356510,1519979.500,9401,2,ER,1,100,1.653278
1618271622.423068,1520044.000,9401,2,ER,1,100,1.653197
1618271622.490142,1520109.000,9419,2,ER,1,100,1.652552
1618271622.557216,1520174.000,9419,2,ER,1,100,1.652149
1618271622.624290,1520239.000,9438,1,ER,1,100,1.651908
1618271622.690332,1520303.000,9455,2,ER,1,100,1.651464
1618271622.756374,1520367.000,9455,2,ER,1,100,1.651182
1618271622.823448,1520432.000,9473,1,ER,1,100,1.649369
1618271622.890522,1520497.000,9491,2,ER,1,100,1.648201
1618271622.957597,1520562.000,9491,2,ER,1,100,1.645541
1618271623.025702,1520628.000,9510,1,ER,1,100,1.647435
1618271623.092261,1520692.500,9528,2,ER,1,100,1.648483
1618271623.158819,1520757.000,9528,2,ER,1,100,1.648523
1618271623.224861,1520821.000,9546,1,ER,1,100,1.646791
1618271623.291419,1520885.500,9562,2,ER,1,100,1.645743
1618271623.357977,1520950.000,9562,2,ER,1,100,1.644292
1618271623.423503,1521013.500,9581,2,ER,1,100,1.643607
1618271623.489029,1521077.000,9581,2,ER,1,100,1.643648
1618271623.557135,1521143.000,9599,1,ER,1,100,1.643930
1618271623.623177,1521207.000,9617,2,ER,1,100,1.642721
1618271623.689219,1521271.000,9617,2,ER,1,100,1.642963
1618271623.755262,1521335.000,9634,1,ER,1,100,1.645420
1618271623.822336,1521400.000,9653,2,ER,1,100,1.646670
1618271623.889410,1521465.000,9653,2,ER,1,100,1.647395
1618271623.956484,1521530.000,9671,1,ER,1,100,1.646710
1618271624.023042,1521594.500,9690,2,ER,1,100,1.647636
1618271624.089600,1521659.000,9690,2,ER,1,100,1.646710
1618271624.156158,1521723.500,9707,2,ER,1,100,1.646065
1618271624.222716,1521788.000,9707,2,ER,1,100,1.646911
1618271624.288758,1521852.000,9725,1,ER,1,100,1.645018
1618271624.354800,1521916.000,9742,2,ER,1,100,1.645380
1618271624.420842,1521980.000,9742,2,ER,1,100,1.646508
1618271624.486885,1522044.000,9761,2,ER,1,100,1.647838
1618271624.552927,1522108.000,9761,2,ER,1,100,1.649127
1618271624.620001,1522173.000,9779,1,ER,1,100,1.651626
1618271624.687075,1522238.000,9797,2,ER,1,100,1.649409
1618271624.754149,1522303.000,9797,2,ER,1,100,1.650820
1618271624.821223,1522368.000,9819,1,ER,1,100,1.651021
1618271624.887265,1522432.000,9838,2,ER,1,100,1.650941
1618271624.953307,1522496.000,9838,2,ER,1,100,1.651384
1618271625.019349,1522560.000,9856,1,ER,1,100,1.650941
1618271625.086423,1522625.000,9875,2,ER,1,100,1.649409
1618271625.153497,1522690.000,9875,2,ER,1,100,1.650860
1618271625.220571,1522755.000,9892,2,ER,1,100,1.650981
1618271625.287645,1522820.000,9892,2,ER,1,100,1.652230
1618271625.352656,1522883.000,9909,1,ER,1,100,1.653157
1618271625.419730,1522948.000,9927,2,ER,1,100,1.651061
1618271625.486804,1523013.000,9927,2,ER,1,100,1.649893
1618271625.553878,1523078.000,9946,1,ER,1,100,1.649127
1618271625.619404,1523141.500,9963,2,ER,1,100,1.647032
1618271625.684930,1523205.000,9963,2,ER,1,100,1.645138
1618271625.750972,1523269.000,9982,1,ER,1,100,1.643648
1618271625.817530,1523333.500,9999,2,ER,1,100,1.641794
1618271625.884088,1523398.000,9999,2,ER,1,100,1.640827
1618271625.950130,1523462.000,10018,2,ER,1,100,1.640585
1618271626.016173,1523526.000,10018,2,ER,1,100,1.643083
