EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1618271614.134781,1512012.000,7987,7,PG,1,100,10497
1618271614.134781,1512012.000,7987,7,PG,1,100,10525
1618271614.134781,1512012.000,7987,7,PG,1,100,10012
1618271614.134781,1512012.000,7987,7,PG,1,100,9891
1618271614.134781,1512012.000,7987,7,PG,1,100,9693
1618271614.134781,1512012.000,7987,7,PG,1,100,9564
1618271614.134781,1512012.000,7987,7,PG,1,100,9527
1618271614.172188,1512048.250,8009,4,PG,1,100,9553
1618271614.209594,1512084.500,8009,4,PG,1,100,9585
1618271614.247001,1512120.750,8009,4,PG,1,100,9603
1618271614.284408,1512157.000,8009,4,PG,1,100,9601
1618271614.321557,1512193.000,8028,4,PG,1,100,9601
1618271614.358705,1512229.000,8028,4,PG,1,100,9623
1618271614.395854,1512265.000,8028,4,PG,1,100,9649
1618271614.433002,1512301.000,8028,4,PG,1,100,9686
1618271614.474795,1512341.500,8046,2,PG,1,100,9730
1618271614.516587,1512382.000,8046,2,PG,1,100,9762
1618271614.556832,1512421.000,8064,2,PG,1,100,9814
1618271614.597076,1512460.000,8064,2,PG,1,100,9846
1618271614.636976,1512498.667,8080,3,PG,1,100,9889
1618271614.676877,1512537.333,8080,3,PG,1,100,9922
1618271614.716777,1512576.000,8080,3,PG,1,100,9923
1618271614.760805,1512618.667,8100,3,PG,1,100,9796
1618271614.804833,1512661.333,8100,3,PG,1,100,9609
1618271614.848862,1512704.000,8100,3,PG,1,100,9529
1618271614.882399,1512736.500,8118,2,PG,1,100,9500
1618271614.915936,1512769.000,8118,2,PG,1,100,9536
1618271614.960652,1512812.333,8137,3,PG,1,100,9589
1618271615.005368,1512855.667,8137,3,PG,1,100,9624
1618271615.050084,1512899.000,8137,3,PG,1,100,9643
1618271615.088608,1512936.333,8154,3,PG,1,100,9658
1618271615.127133,1512973.667,8154,3,PG,1,100,9697
1618271615.165658,1513011.000,8154,3,PG,1,100,9736
1618271615.207450,1513051.500,8171,2,PG,1,100,9781
1618271615.249242,1513092.000,8171,2,PG,1,100,9830
1618271615.288799,1513130.333,8189,3,PG,1,100,9872
1618271615.328355,1513168.667,8189,3,PG,1,100,9913
1618271615.367911,1513207.000,8189,3,PG,1,100,9950
1618271615.406436,1513244.333,8208,3,PG,1,100,9994
1618271615.444961,1513281.667,8208,3,PG,1,100,10024
1618271615.483485,1513319.000,8208,3,PG,1,100,10054
1618271615.525277,1513359.500,8225,2,PG,1,100,9978
1618271615.567070,1513400.000,8225,2,PG,1,100,9837
1618271615.605594,1513437.333,8243,3,PG,1,100,9728
1618271615.644119,1513474.667,8243,3,PG,1,100,9697
1618271615.682643,1513512.000,8243,3,PG,1,100,9728
1618271615.723920,1513552.000,8261,2,PG,1,100,9764
1618271615.765196,1513592.000,8261,2,PG,1,100,9791
1618271615.804409,1513630.000,8280,3,PG,1,100,9794
1618271615.843621,1513668.000,8280,3,PG,1,100,9792
1618271615.882834,1513706.000,8280,3,PG,1,100,9804
1618271615.924626,1513746.500,8298,2,PG,1,100,9831
1618271615.966418,1513787.000,8298,2,PG,1,100,9871
1618271616.010102,1513829.333,8316,3,PG,1,100,9908
1618271616.053787,1513871.667,8316,3,PG,1,100,9948
1618271616.097471,1513914.000,8316,3,PG,1,100,9985
1618271616.135995,1513951.333,8332,3,PG,1,100,10016
1618271616.174520,1513988.667,8332,3,PG,1,100,10057
1618271616.213044,1514026.000,8332,3,PG,1,100,10065
1618271616.254837,1514066.500,8351,2,PG,1,100,9963
