EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1618271614.134781,1512012.000,7986,7,PR,1,100,147143
1618271614.134781,1512012.000,7986,7,PR,1,100,147177
1618271614.134781,1512012.000,7986,7,PR,1,100,146461
1618271614.134781,1512012.000,7986,7,PR,1,100,146220
1618271614.134781,1512012.000,7986,7,PR,1,100,146025
1618271614.134781,1512012.000,7986,7,PR,1,100,145956
1618271614.134781,1512012.000,7986,7,PR,1,100,145963
1618271614.172188,1512048.250,8008,4,PR,1,100,146034
1618271614.209594,1512084.500,8008,4,PR,1,100,146089
1618271614.247001,1512120.750,8008,4,PR,1,100,146104
1618271614.284408,1512157.000,8008,4,PR,1,100,146085
1618271614.321557,1512193.000,8027,4,PR,1,100,146084
1618271614.358705,1512229.000,8027,4,PR,1,100,146117
1618271614.395854,1512265.000,8027,4,PR,1,100,146173
1618271614.433002,1512301.000,8027,4,PR,1,100,146228
1618271614.474795,1512341.500,8045,2,PR,1,100,146276
1618271614.516587,1512382.000,8045,2,PR,1,100,146320
1618271614.556832,1512421.000,8063,2,PR,1,100,146363
1618271614.597076,1512460.000,8063,2,PR,1,100,146411
1618271614.636976,1512498.667,8079,3,PR,1,100,146447
1618271614.676877,1512537.333,8079,3,PR,1,100,146505
1618271614.716777,1512576.000,8079,3,PR,1,100,146417
1618271614.760805,1512618.667,8099,3,PR,1,100,146183
1618271614.804833,1512661.333,8099,3,PR,1,100,146015
1618271614.848862,1512704.000,8099,3,PR,1,100,145973
1618271614.882399,1512736.500,8117,2,PR,1,100,145999
1618271614.915936,1512769.000,8117,2,PR,1,100,146092
1618271614.960652,1512812.333,8136,3,PR,1,100,146163
1618271615.005368,1512855.667,8136,3,PR,1,100,146192
1618271615.050084,1512899.000,8136,3,PR,1,100,146208
1618271615.088608,1512936.333,8153,3,PR,1,100,146206
1618271615.127133,1512973.667,8153,3,PR,1,100,146252
1618271615.165658,1513011.000,8153,3,PR,1,100,146315
1618271615.207450,1513051.500,8170,2,PR,1,100,146379
1618271615.249242,1513092.000,8170,2,PR,1,100,146442
1618271615.288799,1513130.333,8188,3,PR,1,100,146489
1618271615.328355,1513168.667,8188,3,PR,1,100,146537
1618271615.367911,1513207.000,8188,3,PR,1,100,146576
1618271615.406436,1513244.333,8207,3,PR,1,100,146609
1618271615.444961,1513281.667,8207,3,PR,1,100,146659
1618271615.483485,1513319.000,8207,3,PR,1,100,146644
1618271615.525277,1513359.500,8224,2,PR,1,100,146427
1618271615.567070,1513400.000,8224,2,PR,1,100,146232
1618271615.605594,1513437.333,8242,3,PR,1,100,146161
1618271615.644119,1513474.667,8242,3,PR,1,100,146168
1618271615.682643,1513512.000,8242,3,PR,1,100,146235
1618271615.723920,1513552.000,8260,2,PR,1,100,146318
1618271615.765196,1513592.000,8260,2,PR,1,100,146323
1618271615.804409,1513630.000,8279,3,PR,1,100,146304
1618271615.843621,1513668.000,8279,3,PR,1,100,146300
1618271615.882834,1513706.000,8279,3,PR,1,100,146327
1618271615.924626,1513746.500,8297,2,PR,1,100,146360
1618271615.966418,1513787.000,8297,2,PR,1,100,146428
1618271616.010102,1513829.333,8315,3,PR,1,100,146469
1618271616.053787,1513871.667,8315,3,PR,1,100,146515
1618271616.097471,1513914.000,8315,3,PR,1,100,146558
1618271616.135995,1513951.333,8331,3,PR,1,100,146592
1618271616.174520,1513988.667,8331,3,PR,1,100,146649
1618271616.213044,1514026.000,8331,3,PR,1,100,146598
1618271616.254837,1514066.500,8350,2,PR,1,100,146373
1618271616.296629,1514107.000,8350,2,PR,1,100,146171
1618271616.335841,1514145.000,8368,3,PR,1,100,146085
1618271616.375054,1514183.000,8368,3,PR,1,100,146098
1618271616.414266,1514221.000,8368,3,PR,1,100,146159
1618271616.455543,1514261.000,8387,2,PR,1,100,146224
1618271616.496819,1514301.000,8387,2,PR,1,100,146246
1618271616.535688,1514338.667,8404,3,PR,1,100,146229
1618271616.574556,1514376.333,8404,3,PR,1,100,146231
1618271616.613425,1514414.000,8404,3,PR,1,100,146247
1618271616.651605,1514451.000,8421,3,PR,1,100,146301
1618271616.689786,1514488.000,8421,3,PR,1,100,146350
1618271616.727967,1514525.000,8421,3,PR,1,100,146404
1618271616.770275,1514566.000,8440,2,PR,1,100,146451
1618271616.812583,1514607.000,8440,2,PR,1,100,146499
1618271616.851452,1514644.667,8459,3,PR,1,100,146529
1618271616.890320,1514682.333,8459,3,PR,1,100,146570
1618271616.929189,1514720.000,8459,3,PR,1,100,146579
1618271616.970465,1514760.000,8476,2,PR,1,100,146358
1618271617.011741,1514800.000,8476,2,PR,1,100,146134
1618271617.050610,1514837.667,8494,3,PR,1,100,146023
1618271617.089478,1514875.333,8494,3,PR,1,100,146029
1618271617.128347,1514913.000,8494,3,PR,1,100,146068
1618271617.170655,1514954.000,8511,2,PR,1,100,146122
1618271617.212963,1514995.000,8511,2,PR,1,100,146170
1618271617.257335,1515038.000,8530,3,PR,1,100,146158
1618271617.301708,1515081.000,8530,3,PR,1,100,146164
1618271617.346080,1515124.000,8530,3,PR,1,100,146187
1618271617.385292,1515162.000,8548,3,PR,1,100,146223
1618271617.424505,1515200.000,8548,3,PR,1,100,146286
1618271617.463717,1515238.000,8548,3,PR,1,100,146330
1618271617.502930,1515276.000,8566,3,PR,1,100,146373
1618271617.542142,1515314.000,8566,3,PR,1,100,146422
1618271617.581355,1515352.000,8566,3,PR,1,100,146456
1618271617.622115,1515391.500,8583,2,PR,1,100,146508
1618271617.662875,1515431.000,8583,2,PR,1,100,146558
