EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1618271614.132717,1512010.000,7991,1,T0,1,100,33.663
1618271614.264802,1512138.000,8013,1,T0,1,100,33.765
1618271614.396886,1512266.000,8032,1,T0,1,100,33.744
1618271614.528970,1512394.000,8050,1,T0,1,100,33.749
1618271614.663118,1512524.000,8084,1,T0,1,100,33.771
1618271614.797266,1512654.000,8104,1,T0,1,100,33.803
1618271614.930382,1512783.000,8122,1,T0,1,100,33.819
1618271615.063498,1512912.000,8141,1,T0,1,100,33.813
1618271615.196615,1513041.000,8175,1,T0,1,100,33.803
1618271615.331795,1513172.000,8193,1,T0,1,100,33.808
1618271615.463879,1513300.000,8212,1,T0,1,100,33.819
1618271615.598027,1513430.000,8247,1,T0,1,100,33.830
1618271615.730111,1513558.000,8265,1,T0,1,100,33.813
1618271615.863227,1513687.000,8284,1,T0,1,100,33.771
1618271615.996344,1513816.000,8302,1,T0,1,100,33.813
1618271616.128428,1513944.000,8336,1,T0,1,100,33.787
1618271616.261544,1514073.000,8355,1,T0,1,100,33.803
1618271616.394660,1514202.000,8373,1,T0,1,100,33.787
1618271616.527776,1514331.000,8392,1,T0,1,100,33.813
1618271616.659861,1514459.000,8426,1,T0,1,100,33.824
1618271616.792977,1514588.000,8445,1,T0,1,100,33.771
1618271616.927125,1514718.000,8464,1,T0,1,100,33.819
1618271617.059209,1514846.000,8499,1,T0,1,100,33.813
1618271617.193357,1514976.000,8516,1,T0,1,100,33.819
1618271617.326473,1515105.000,8535,1,T0,1,100,33.840
1618271617.461653,1515236.000,8553,1,T0,1,100,33.771
1618271617.594769,1515365.000,8588,1,T0,1,100,33.803
1618271617.726854,1515493.000,8607,1,T0,1,100,33.797
1618271617.861002,1515623.000,8625,1,T0,1,100,33.835
1618271617.992054,1515750.000,8644,1,T0,1,100,33.851
1618271618.125170,1515879.000,8678,1,T0,1,100,33.781
1618271618.257255,1516007.000,8696,1,T0,1,100,33.819
1618271618.389339,1516135.000,8715,1,T0,1,100,33.840
1618271618.523487,1516265.000,8733,1,T0,1,100,33.781
1618271618.656603,1516394.000,8767,1,T0,1,100,33.819
1618271618.790751,1516524.000,8787,1,T0,1,100,33.824
1618271618.922835,1516652.000,8805,1,T0,1,100,33.813
1618271619.055952,1516781.000,8824,1,T0,1,100,33.862
1618271619.189068,1516910.000,8858,1,T0,1,100,33.830
1618271619.321152,1517038.000,8876,1,T0,1,100,33.830
1618271619.455300,1517168.000,8895,1,T0,1,100,33.835
1618271619.587384,1517296.000,8917,1,T0,1,100,33.872
1618271619.722564,1517427.000,8937,1,T0,1,100,33.835
1618271619.853616,1517554.000,8972,1,T0,1,100,33.867
1618271619.986733,1517683.000,8989,1,T0,1,100,33.824
1618271620.120881,1517813.000,9008,1,T0,1,100,33.840
1618271620.252965,1517941.000,9026,1,T0,1,100,33.846
1618271620.386081,1518070.000,9060,1,T0,1,100,33.846
1618271620.518166,1518198.000,9079,1,T0,1,100,33.889
1618271620.651282,1518327.000,9097,1,T0,1,100,33.835
1618271620.785430,1518457.000,9117,1,T0,1,100,33.819
1618271620.918546,1518586.000,9151,1,T0,1,100,33.846
1618271621.052694,1518716.000,9169,1,T0,1,100,33.862
1618271621.184778,1518844.000,9188,1,T0,1,100,33.862
1618271621.318926,1518974.000,9223,1,T0,1,100,33.889
1618271621.453074,1519104.000,9240,1,T0,1,100,33.846
1618271621.586190,1519233.000,9259,1,T0,1,100,33.835
1618271621.719307,1519362.000,9277,1,T0,1,100,33.835
1618271621.851391,1519490.000,9312,1,T0,1,100,33.851
1618271621.986571,1519621.000,9331,1,T0,1,100,33.862
1618271622.117623,1519748.000,9349,1,T0,1,100,33.872
1618271622.251771,1519878.000,9383,1,T0,1,100,33.878
1618271622.384887,1520007.000,9402,1,T0,1,100,33.894
1618271622.518004,1520136.000,9420,1,T0,1,100,33.835
1618271622.651120,1520265.000,9439,1,T0,1,100,33.894
1618271622.784236,1520394.000,9474,1,T0,1,100,33.889
1618271622.918384,1520524.000,9492,1,T0,1,100,33.862
1618271623.052532,1520654.000,9511,1,T0,1,100,33.856
1618271623.185648,1520783.000,9529,1,T0,1,100,33.872
1618271623.318764,1520912.000,9563,1,T0,1,100,33.862
1618271623.450849,1521040.000,9582,1,T0,1,100,33.894
1618271623.584997,1521170.000,9600,1,T0,1,100,33.878
1618271623.717081,1521298.000,9635,1,T0,1,100,33.867
1618271623.850197,1521427.000,9654,1,T0,1,100,33.872
1618271623.983313,1521556.000,9672,1,T0,1,100,33.872
1618271624.116430,1521685.000,9691,1,T0,1,100,33.862
1618271624.249546,1521814.000,9726,1,T0,1,100,33.883
1618271624.381630,1521942.000,9743,1,T0,1,100,33.846
1618271624.515778,1522072.000,9762,1,T0,1,100,33.878
1618271624.647862,1522200.000,9780,1,T0,1,100,33.905
1618271624.782010,1522330.000,9820,1,T0,1,100,33.883
1618271624.915127,1522459.000,9839,1,T0,1,100,33.889
1618271625.047211,1522587.000,9857,1,T0,1,100,33.878
1618271625.181359,1522717.000,9876,1,T0,1,100,33.856
1618271625.314475,1522846.000,9910,1,T0,1,100,33.894
1618271625.447591,1522975.000,9928,1,T0,1,100,33.851
1618271625.579675,1523103.000,9947,1,T0,1,100,33.889
1618271625.712792,1523232.000,9983,1,T0,1,100,33.835
1618271625.845908,1523361.000,10000,1,T0,1,100,33.915
1618271625.977992,1523489.000,10019,1,T0,1,100,33.883
1618271626.111108,1523618.000,10037,1,T0,1,100,33.889
1618271626.243192,1523746.000,10071,1,T0,1,100,33.867
1618271626.377341,1523876.000,10090,1,T0,1,100,33.905
1618271626.509425,1524004.000,10108,1,T0,1,100,33.921
1618271626.642541,1524133.000,10127,1,T0,1,100,33.905
1618271626.776689,1524263.000,10162,1,T0,1,100,33.872
1618271626.908773,1524391.000,10180,1,T0,1,100,33.883
1618271627.042921,1524521.000,10199,1,T0,1,100,33.905
1618271627.175006,1524649.000,10233,1,T0,1,100,33.921
1618271627.307090,1524777.000,10251,1,T0,1,100,33.915
1618271627.441238,1524907.000,10270,1,T0,1,100,33.894
1618271627.573322,1525035.000,10288,1,T0,1,100,33.878
1618271627.706438,1525164.000,10323,1,T0,1,100,33.894
1618271627.838523,1525292.000,10342,1,T0,1,100,33.905
1618271627.971639,1525421.000,10360,1,T0,1,100,33.894
1618271628.105787,1525551.000,10395,1,T0,1,100,33.910
1618271628.237871,1525679.000,10413,1,T0,1,100,33.889
1618271628.372019,1525809.000,10431,1,T0,1,100,33.905
1618271628.505135,1525938.000,10450,1,T0,1,100,33.883
1618271628.640315,1526069.000,10484,1,T0,1,100,33.948
1618271628.771368,1526196.000,10503,1,T0,1,100,33.926
1618271628.904484,1526325.000,10522,1,T0,1,100,33.915
1618271629.038632,1526455.000,10540,1,T0,1,100,33.942
1618271629.170716,1526583.000,10574,1,T0,1,100,33.931
1618271629.303832,1526712.000,10593,1,T0,1,100,33.889
1618271629.435916,1526840.000,10611,1,T0,1,100,33.921
1618271629.569033,1526969.000,10630,1,T0,1,100,33.878
1618271629.704213,1527100.000,10665,1,T0,1,100,33.910
1618271629.836297,1527228.000,10683,1,T0,1,100,33.915
1618271629.970445,1527358.000,10702,1,T0,1,100,33.921
1618271630.102529,1527486.000,10726,1,T0,1,100,33.921
1618271630.236677,1527616.000,10744,1,T0,1,100,33.931
1618271630.369793,1527745.000,10763,1,T0,1,100,33.910
1618271630.502910,1527874.000,10798,1,T0,1,100,33.905
1618271630.636026,1528003.000,10815,1,T0,1,100,33.926
1618271630.769142,1528132.000,10835,1,T0,1,100,33.921
1618271630.903290,1528262.000,10853,1,T0,1,100,33.899
1618271631.034342,1528389.000,10887,1,T0,1,100,33.937
1618271631.168490,1528519.000,10906,1,T0,1,100,33.964
1618271631.300575,1528647.000,10924,1,T0,1,100,33.948
1618271631.433691,1528776.000,10942,1,T0,1,100,33.921
1618271631.566807,1528905.000,10977,1,T0,1,100,33.937
1618271631.698891,1529033.000,10995,1,T0,1,100,33.937
1618271631.833039,1529163.000,11015,1,T0,1,100,33.942
1618271631.967187,1529293.000,11050,1,T0,1,100,33.921
1618271632.100304,1529422.000,11067,1,T0,1,100,33.942
1618271632.234452,1529552.000,11086,1,T0,1,100,33.937
1618271632.368600,1529682.000,11104,1,T0,1,100,33.937
1618271632.501716,1529811.000,11138,1,T0,1,100,33.974
1618271632.634832,1529940.000,11157,1,T0,1,100,33.926
1618271632.767948,1530069.000,11176,1,T0,1,100,33.937
1618271632.900033,1530197.000,11211,1,T0,1,100,33.953
1618271633.033149,1530326.000,11229,1,T0,1,100,33.942
1618271633.165233,1530454.000,11247,1,T0,1,100,33.937
1618271633.296285,1530581.000,11266,1,T0,1,100,33.985
1618271633.430433,1530711.000,11300,1,T0,1,100,33.985
