EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1618271614.294727,1512167.000,8014,2,TH,1,100,35.160
1618271614.294727,1512167.000,8014,2,TH,1,100,35.181
1618271614.426811,1512295.000,8033,1,TH,1,100,35.114
1618271614.558895,1512423.000,8068,1,TH,1,100,35.121
1618271614.694075,1512554.000,8085,1,TH,1,100,35.210
1618271614.826160,1512682.000,8105,1,TH,1,100,35.210
1618271614.960308,1512812.000,8123,1,TH,1,100,35.128
1618271615.093424,1512941.000,8158,1,TH,1,100,35.129
1618271615.226540,1513070.000,8176,1,TH,1,100,35.134
1618271615.361720,1513201.000,8194,1,TH,1,100,35.134
1618271615.493804,1513329.000,8229,1,TH,1,100,35.159
1618271615.627952,1513459.000,8248,1,TH,1,100,35.159
1618271615.760036,1513587.000,8266,1,TH,1,100,35.120
1618271615.893153,1513716.000,8285,1,TH,1,100,35.128
1618271616.025237,1513844.000,8320,1,TH,1,100,35.171
1618271616.158353,1513973.000,8337,1,TH,1,100,35.171
1618271616.290437,1514101.000,8356,1,TH,1,100,35.163
1618271616.423553,1514230.000,8374,1,TH,1,100,35.163
1618271616.557702,1514360.000,8409,1,TH,1,100,35.148
1618271616.689786,1514488.000,8427,1,TH,1,100,35.148
1618271616.822902,1514617.000,8446,1,TH,1,100,35.224
1618271616.956018,1514746.000,8481,1,TH,1,100,35.224
1618271617.089134,1514875.000,8500,1,TH,1,100,35.170
1618271617.223283,1515005.000,8517,1,TH,1,100,35.170
1618271617.356399,1515134.000,8536,1,TH,1,100,35.193
1618271617.491579,1515265.000,8571,1,TH,1,100,35.193
1618271617.623663,1515393.000,8589,1,TH,1,100,35.185
1618271617.756779,1515522.000,8608,1,TH,1,100,35.193
1618271617.889895,1515651.000,8626,1,TH,1,100,35.182
1618271618.023011,1515780.000,8661,1,TH,1,100,35.182
1618271618.155096,1515908.000,8679,1,TH,1,100,35.122
1618271618.286148,1516035.000,8697,1,TH,1,100,35.122
1618271618.419264,1516164.000,8716,1,TH,1,100,35.127
1618271618.552380,1516293.000,8751,1,TH,1,100,35.127
1618271618.686528,1516423.000,8768,1,TH,1,100,35.117
1618271618.820676,1516553.000,8788,1,TH,1,100,35.117
1618271618.952761,1516681.000,8806,1,TH,1,100,35.159
1618271619.085877,1516810.000,8841,1,TH,1,100,35.159
1618271619.217961,1516938.000,8859,1,TH,1,100,35.164
1618271619.351077,1517067.000,8877,1,TH,1,100,35.171
1618271619.484193,1517196.000,8918,2,TH,1,100,35.184
1618271619.617310,1517325.000,8918,2,TH,1,100,35.184
1618271619.752490,1517456.000,8954,1,TH,1,100,35.214
1618271619.883542,1517583.000,8973,1,TH,1,100,35.214
1618271620.016658,1517712.000,8990,1,TH,1,100,35.160
1618271620.150806,1517842.000,9009,1,TH,1,100,35.160
1618271620.282890,1517970.000,9044,1,TH,1,100,35.204
1618271620.416007,1518099.000,9061,1,TH,1,100,35.204
1618271620.547059,1518226.000,9080,1,TH,1,100,35.199
1618271620.681207,1518356.000,9098,1,TH,1,100,35.199
