EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1618271614.134781,1512012.000,7985,7,PI,1,100,157492
1618271614.134781,1512012.000,7985,7,PI,1,100,157610
1618271614.134781,1512012.000,7985,7,PI,1,100,156609
1618271614.134781,1512012.000,7985,7,PI,1,100,155992
1618271614.134781,1512012.000,7985,7,PI,1,100,155537
1618271614.134781,1512012.000,7985,7,PI,1,100,155400
1618271614.134781,1512012.000,7985,7,PI,1,100,155441
1618271614.172188,1512048.250,8007,4,PI,1,100,155620
1618271614.209594,1512084.500,8007,4,PI,1,100,155777
1618271614.247001,1512120.750,8007,4,PI,1,100,155807
1618271614.284408,1512157.000,8007,4,PI,1,100,155746
1618271614.321557,1512193.000,8026,4,PI,1,100,155748
1618271614.358705,1512229.000,8026,4,PI,1,100,155824
1618271614.395854,1512265.000,8026,4,PI,1,100,155928
1618271614.433002,1512301.000,8026,4,PI,1,100,156066
1618271614.474795,1512341.500,8044,2,PI,1,100,156188
1618271614.516587,1512382.000,8044,2,PI,1,100,156305
1618271614.556832,1512421.000,8062,2,PI,1,100,156393
1618271614.597076,1512460.000,8062,2,PI,1,100,156498
1618271614.636976,1512498.667,8078,3,PI,1,100,156596
1618271614.676877,1512537.333,8078,3,PI,1,100,156694
1618271614.716777,1512576.000,8078,3,PI,1,100,156478
1618271614.760805,1512618.667,8098,3,PI,1,100,155853
1618271614.804833,1512661.333,8098,3,PI,1,100,155479
1618271614.848862,1512704.000,8098,3,PI,1,100,155403
1618271614.882399,1512736.500,8116,2,PI,1,100,155500
1618271614.915936,1512769.000,8116,2,PI,1,100,155737
1618271614.960652,1512812.333,8135,3,PI,1,100,155918
1618271615.005368,1512855.667,8135,3,PI,1,100,155982
1618271615.050084,1512899.000,8135,3,PI,1,100,155977
1618271615.088608,1512936.333,8152,3,PI,1,100,156010
1618271615.127133,1512973.667,8152,3,PI,1,100,156116
1618271615.165658,1513011.000,8152,3,PI,1,100,156254
1618271615.207450,1513051.500,8169,2,PI,1,100,156397
1618271615.249242,1513092.000,8169,2,PI,1,100,156532
1618271615.288799,1513130.333,8187,3,PI,1,100,156663
1618271615.328355,1513168.667,8187,3,PI,1,100,156749
1618271615.367911,1513207.000,8187,3,PI,1,100,156846
1618271615.406436,1513244.333,8206,3,PI,1,100,156930
1618271615.444961,1513281.667,8206,3,PI,1,100,157061
1618271615.483485,1513319.000,8206,3,PI,1,100,156987
1618271615.525277,1513359.500,8223,2,PI,1,100,156424
1618271615.567070,1513400.000,8223,2,PI,1,100,155953
1618271615.605594,1513437.333,8241,3,PI,1,100,155777
1618271615.644119,1513474.667,8241,3,PI,1,100,155846
1618271615.682643,1513512.000,8241,3,PI,1,100,156048
1618271615.723920,1513552.000,8259,2,PI,1,100,156227
1618271615.765196,1513592.000,8259,2,PI,1,100,156237
1618271615.804409,1513630.000,8278,3,PI,1,100,156162
1618271615.843621,1513668.000,8278,3,PI,1,100,156170
1618271615.882834,1513706.000,8278,3,PI,1,100,156225
1618271615.924626,1513746.500,8296,2,PI,1,100,156334
1618271615.966418,1513787.000,8296,2,PI,1,100,156462
1618271616.010102,1513829.333,8314,3,PI,1,100,156573
1618271616.053787,1513871.667,8314,3,PI,1,100,156684
1618271616.097471,1513914.000,8314,3,PI,1,100,156778
